"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Spruce_Biomass_kg","Mean_Plot_Spruce_Biomass_kg_m2"
"270","Trøndelag","namdalseid_1kub","1KUB","UB",4,3.52129,0.28021535478003
"271","Telemark","kviteseid1","1KVUB","UB",4,1.189625,0.094667349587848
"272","Telemark","notodden1","1NOUB","UB",4,0.28551,0.0227201639010835
"273","Trøndelag","nsb_verdal","1NSUB","UB",4,0.38068,0.0302935518681114
"274","Trøndelag","sub_namdalseid","1SUB","UB",4,0.38068,0.0302935518681114
"275","Trøndelag","verdal_1vb","1VBUB","UB",4,0.09517,0.00757338796702784
"276","Trøndelag","steinkjer_2bbb","2BBUB","UB",4,3.42612,0.272641966813002
"277","Telemark","nome_cappelen2","2CAUB","UB",4,0.444126666666667,0.0353424771794633
"278","Telemark","fritsoe2","2FRUB","UB",4,1.71306,0.136320983406501
"279","Telemark","kviteseid2","2KVUB","UB",4,1.9747775,0.157147800315828
"280","Trøndelag","verdal_2vb","2VBUB","UB",4,1.99857,0.159041147307585
"281","Telemark","drangedal3","3DRUB","UB",4,0.38068,0.0302935518681114
"282","Telemark","kviteseid3","3KVUB","UB",4,4.5443675,0.361629275425579
"283","Telemark","notodden3","3NOUB","UB",4,0.5948125,0.047333674793924
"284","Telemark","drangedal4","4DRUB","UB",4,1.0706625,0.0852006146290632
"285","Telemark","notodden4","4NOUB","UB",4,1.04687,0.0833072676373062
"286","Telemark","notodden5","5NOUB","UB",4,11.3490225,0.90312651506807
"287","Telemark","notodden6","6NOUB","UB",4,0.09517,0.00757338796702784
"288","Trøndelag","bratsberg","BRUB","UB",4,1.284795,0.102240737554876
"289","Hedmark","nes 1","DDUB","UB",4,15.32237,1.21931546269148
"290","Hedmark","didrik_holmsen","DHUB","UB",4,2.331665,0.185548005192182
"291","Hedmark","fet_3","FKUB","UB",4,1.0230775,0.0814139206455493
"292","Trøndelag","selbu_flub","FLUB","UB",4,2.72820666666667,0.217103788388131
"293","Trøndelag","hi_tydal","HIUB","UB",4,1.99857,0.159041147307585
"294","Hedmark","kongsvinger 1","IAAUB","UB",4,18.8119366666667,1.49700635481584
"295","Hedmark","kongsvinger 2","JCDUB","UB",4,3.26750333333333,0.260019653534622
"296","Trøndelag","selbu_kl","KLUB","UB",4,1.61789,0.128747595439473
"297","Trøndelag","singsaas","LAUB","UB",4,2.25235666666667,0.179236848552992
"298","Trøndelag","malvik","MAUB","UB",4,2.98199333333333,0.237299489633539
"299","Hedmark","nes 2","OLUB","UB",4,1.379965,0.109814125521904
"300","Hedmark","stig_dahlen","SDUB","UB",4,2.1651175,0.172294576249883
"301","Trøndelag","sl_tydal","SEUB","UB",4,1.45927333333333,0.116125282161094
"302","Hedmark","sørum 1","SKUB","UB",4,1.0230775,0.0814139206455493
"303","Trøndelag","selbu_sl","SLUB","UB",4,1.4989275,0.119280860480688
"304","Hedmark","stangeskovene_aurskog","SSAUB","UB",4,0.57102,0.045440327802167
"305","Hedmark","stangeskovene_eidskog","SSBUB","UB",4,0.38068,0.0302935518681114
"306","Hedmark","eidskog","STSKNUB","UB",4,1.80823,0.143894371373529
"307","Hedmark","truls_holm","THUB","UB",4,3.093025,0.246135108928405
"308","Trøndelag","steinkjer_1bbb","1BBB","B",5,1.93872,0.15427843563556
