"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Decid_Biomass_kg","Mean_Plot_Decid_Biomass_kg_m2"
"207","Telemark","notodden5","5NOB","B",4,0.79658824,0.0633904780024365
"208","Telemark","notodden6","6NOB","B",4,0.28301224,0.0225213984757549
"209","Trøndelag","bratsberg","BRB","B",4,1.42715501,0.113569387199932
"210","Hedmark","didrik_holmsen","DHB","B",4,1.55173254666667,0.123482952579288
"211","Hedmark","fet_3","FKB","B",4,0.72812004,0.0579419517651343
"212","Trøndelag","selbu_flub","FLB","B",4,1.67893554,0.13360544516183
"213","Trøndelag","hi_tydal","HIB","B",4,3.91646981,0.311662764865838
"214","Hedmark","halvard_pramhus","HPB","B",4,0.32454875,0.0258267689183979
"215","Trøndelag","selbu_kl","KLB","B",4,2.15025901333333,0.171112175449951
"216","Trøndelag","singsaas","LAB","B",4,0.20742704,0.0165065193734601
"217","Trøndelag","malvik","MAB","B",4,0.65577315,0.0521847691847215
"218","Hedmark","stig_dahlen","SDB","B",4,1.17201783,0.0932662155181684
"219","Trøndelag","sl_tydal","SEB","B",4,0.48739264,0.0387854739413043
"220","Trøndelag","selbu_sl","SLB","B",4,0.25195818,0.0200501948997188
"221","Hedmark","stangeskovene_aurskog","SSAB","B",4,0.547571666666667,0.0435743687235338
"222","Hedmark","stangeskovene_eidskog","SSBB","B",4,0.2294175,0.0182564645783924
"223","Hedmark","eidskog","STSKNB","B",4,0.41067875,0.0326807765426504
"224","Hedmark","truls_holm","THB","B",4,0.60275724,0.047965897115214
"225","Trøndelag","steinkjer_1bbb","1BBUB","UB",4,0.90650115,0.0721370694704939
"226","Telemark","nome_cappelen1","1CAUB","UB",4,0.04376035,0.00348233800696571
"227","Telemark","drangedal1","1DRUB","UB",4,0.721282625,0.0573978475675239
"228","Telemark","fritsoe1","1FRUB","UB",4,3.968008475,0.315764081513392
"229","Telemark","furesdal","1FYUB","UB",4,0.39295045,0.0312700032538423
"230","Trøndelag","namdalseid_1kub","1KUB","UB",4,1.433739425,0.114093358297241
"231","Telemark","kviteseid1","1KVUB","UB",4,0.317484033333333,0.025264576628876
"232","Trøndelag","nsb_verdal","1NSUB","UB",4,0.587973,0.0467894046772855
"233","Trøndelag","sub_namdalseid","1SUB","UB",4,1.419875125,0.112990072358486
"234","Trøndelag","verdal_1vb","1VBUB","UB",4,1.53940066666667,0.12250161274948
"235","Trøndelag","steinkjer_2bbb","2BBUB","UB",4,1.01511435,0.0807802333030082
"236","Telemark","nome_cappelen2","2CAUB","UB",4,2.0257478,0.161203887913766
"237","Telemark","fritsoe2","2FRUB","UB",4,1.647879775,0.131134105906205
"238","Telemark","kviteseid2","2KVUB","UB",4,0.400443125,0.0318662513854579
"239","Trøndelag","verdal_2vb","2VBUB","UB",4,3.58099636666667,0.284966636474559
"240","Telemark","drangedal3","3DRUB","UB",4,0.36051125,0.028688573738869
"241","Telemark","kviteseid3","3KVUB","UB",4,1.656590225,0.131827261493233
"242","Telemark","notodden3","3NOUB","UB",4,0.628326,0.0500005943865791
"243","Telemark","drangedal4","4DRUB","UB",4,4.327838575,0.344398451057517
"244","Telemark","notodden5","5NOUB","UB",4,0.80211405,0.0638302079904799
"245","Telemark","notodden6","6NOUB","UB",4,0.6192523,0.0492785322830126
"246","Trøndelag","bratsberg","BRUB","UB",4,4.052338575,0.322474857646609
"247","Hedmark","didrik_holmsen","DHUB","UB",4,0.440090166666667,0.035021262715568
"248","Hedmark","fet_3","FKUB","UB",4,1.29967545,0.103424886141342
"249","Trøndelag","selbu_flub","FLUB","UB",4,2.38493625,0.189787196573274
