LocalityName,Years_Since_Exclosure,Delta_C,Delta_A,RF_Delta_C,RF_Delta_A,Net_RF,C_Eq_Delta_C,C_Eq_Delta_A,Net_C_Eq
nome_cappelen1,8,-0.049618433,-0.003386831,3.18E-17,5.88E-16,6.20E-16,0.018193425,0.336251031,0.354444456
nome_cappelen1,9,-0.602077907,-0.002265937,3.86E-16,4.07E-16,7.94E-16,0.220761899,0.232847744,0.453609643
nome_cappelen2,1,0.033514414,0.000125957,-2.15E-17,-4.81E-17,-6.96E-17,-0.012288619,-0.027461151,-0.03974977
nome_cappelen2,2,0.228351818,-0.00064164,-1.47E-16,9.52E-17,-5.13E-17,-0.083729,0.054392065,-0.029336935
nome_cappelen2,3,0.377164674,-7.39E-06,-2.42E-16,1.36E-17,-2.28E-16,-0.138293714,0.007783253,-0.130510461
nome_cappelen2,4,0.25479917,0.000141137,-1.63E-16,-6.07E-18,-1.70E-16,-0.093426362,-0.003468766,-0.096895129
nome_cappelen2,5,0.387715159,0.00140458,-2.49E-16,-1.64E-16,-4.13E-16,-0.142162225,-0.093726487,-0.235888712
nome_cappelen2,6,0.584970631,0.00133083,-3.75E-16,-1.37E-16,-5.12E-16,-0.214489231,-0.07817809,-0.292667321
nome_cappelen2,7,0.851413243,0.000122469,-5.46E-16,4.36E-17,-5.03E-16,-0.312184856,0.024896848,-0.287288008
nome_cappelen2,8,1.337446174,-0.001119396,-8.58E-16,2.37E-16,-6.22E-16,-0.490396931,0.135250409,-0.355146521
nome_cappelen2,9,1.61634767,-0.002180565,-1.04E-15,4.16E-16,-6.21E-16,-0.592660812,0.237963601,-0.354697211
notodden1,1,0.094072334,-0.001012736,-6.04E-17,1.41E-16,8.02E-17,-0.034493189,0.080309023,0.045815833
notodden1,2,0.16529878,-0.000505089,-1.06E-16,1.09E-16,3.22E-18,-0.060609553,0.062447172,0.001837619
