"","LocalityName","LocalityCode","Plot","Year","Prop_spruce","Prop_pine","Prop_birch","Prop_decid"
"227","Drangedal1","1DRUB","ØV",2017,0.272727272727273,0.0303030303030303,0.121212121212121,0.575757575757576
"228","Drangedal1","1DRUB","NH",2018,0.125,0,0,0.875
"229","Drangedal1","1DRUB","NV",2018,0.285714285714286,0,0.285714285714286,0.428571428571429
"230","Drangedal1","1DRUB","ØH",2018,0.133333333333333,0,0.0666666666666667,0.8
"231","Drangedal1","1DRUB","ØV",2018,0.290322580645161,0.032258064516129,0.129032258064516,0.548387096774194
"232","Fritsøe1","1FRB","NH",2010,0.666666666666667,0,0,0.333333333333333
"233","Fritsøe1","1FRB","NV",2010,0.75,0,0,0.25
"234","Fritsøe1","1FRB","ØH",2010,1,0,0,0
"235","Fritsøe1","1FRB","ØV",2010,0.5,0,0,0.5
"236","Fritsøe1","1FRB","NH",2011,0.555555555555556,0.222222222222222,0,0.222222222222222
"237","Fritsøe1","1FRB","NV",2011,0.75,0,0,0.25
"238","Fritsøe1","1FRB","ØH",2011,0.75,0,0,0.25
"239","Fritsøe1","1FRB","ØV",2011,0.333333333333333,0,0,0.666666666666667
"240","Fritsøe1","1FRB","NH",2012,0.555555555555556,0.222222222222222,0,0.222222222222222
"241","Fritsøe1","1FRB","NV",2012,0.666666666666667,0,0,0.333333333333333
"242","Fritsøe1","1FRB","ØH",2012,0.8,0,0,0.2
"243","Fritsøe1","1FRB","ØV",2012,0.5,0,0,0.5
"244","Fritsøe1","1FRB","NH",2013,0.555555555555556,0.222222222222222,0,0.222222222222222
"245","Fritsøe1","1FRB","NV",2013,0.666666666666667,0.166666666666667,0,0.166666666666667
"246","Fritsøe1","1FRB","ØH",2013,0.8,0,0,0.2
"247","Fritsøe1","1FRB","ØV",2013,0.333333333333333,0,0,0.666666666666667
"248","Fritsøe1","1FRB","NH",2014,0.5,0.25,0,0.25
"249","Fritsøe1","1FRB","NV",2014,0.666666666666667,0.166666666666667,0,0.166666666666667
"250","Fritsøe1","1FRB","ØH",2014,0.666666666666667,0,0.166666666666667,0.166666666666667
"251","Fritsøe1","1FRB","ØV",2014,0.333333333333333,0,0,0.666666666666667
"252","Fritsøe1","1FRB","NH",2015,0.6,0.2,0,0.2
"253","Fritsøe1","1FRB","NV",2015,0.666666666666667,0.166666666666667,0,0.166666666666667
