LocalityName,LocalityCode,ExperimentID,Region,DistrictID,Treatment,Longitude,Latitude,Clear.cut,Year.initiated,LiDAR.data.from.year,Point.density...m.2.,Resolution..m.,Mean,Median,SD,Min,Max,X1st.Qu.,X3rd.Qu.,IQR,ClearCutToLidar,CV,IQR_med,MAD,MAD_med,productivity,diff_median_ex_op
Selbu_kl,KLB,{436D050D-BBC7-4E3F-A530-824096A01910},Trondelag,1664,Open plot,11031603,63192682,2003,2008,2015,2,0.5,0.113526502119002,0.0379999987781048,0.377629357433783,-0.208000004291534,3.82399988174438,0.00600000005215406,0.104000002145767,0.0980000020936129,12,3.32635420263315,2.57894750644254,0.0593039983292576,1.56063158516279,0.116040590906093,
Selbu_kl,KLUB,{08BA3586-B495-4ADD-A054-EBBC42C0CF98},Trondelag,1664,Exclosure,11031679,63193102,2003,2008,2015,2,0.5,0.196003195316235,0.00849999999627471,1.21508090897392,-0.137999996542931,11.4169998168945,-0.00400000018998981,0.0320000015199184,0.0360000017099082,12,6.19929132794742,4.23529432066893,0.0229803003148176,2.70356474410461,0.116040590906093,
Selbu_Sl,SLB,{57129549-D9CA-4F26-B5AE-C29A13078D06},Trondelag,1664,Open plot,10988518,63136555,2002,2008,2015,2,0.5,0.621776349386763,0.174999997019768,0.796064281961176,-0.162000000476837,3.6489999294281,0.061999998986721,1.12800002098083,1.06600002199411,13,1.28030646830859,6.0914288008456,0.240181195183843,1.37246399585202,0.124288986480107,
Selbu_Sl,SLUB,{A8C429C7-4A54-444E-9356-18DE020C08D0},Trondelag,1664,Exclosure,10988881,6313596,2002,2008,2015,2,0.5,1.04207021931917,0.48199999332428,1.09367056365829,-0.206000000238419,3.77099990844727,0.068000003695488,1.99500000476837,1.92700000107288,13,1.04951714710054,3.99792536880065,0.693856789461896,1.43953692753494,0.124288986480107,
Singsaas,LAB,{9DE16EE8-98D4-4615-90E6-B728C2FB5200},Trondelag,1648,Open plot,10943145,62967839,2005,2008,2015,2,0.5,0.195805897931934,0.096000000834465,0.410008906739098,-0.0350000001490116,2.74699997901917,0.0540000014007092,0.17399999499321,0.119999993592501,10,2.09395585663934,1.24999992238979,0.0756125985860824,0.78763122842533,0.042265252358123,
Singsaas,LAUB,{119DA686-F1E8-4F5B-95FE-614D3947E56C},Trondelag,1648,Exclosure,10942996,6296731,2005,2008,2015,2,0.5,0.215802325885256,0.100500002503395,0.420954582512412,-0.194000005722046,3.3289999961853,0.0522500006482005,0.175749998539686,0.123499997891486,10,1.95064895980888,1.22885566980273,0.0859908058103174,0.855629887247143,0.042265252358123,
Sl_Tydal,SEB,{497016A2-081F-4D12-B7B2-42BEA56B357F},Trondelag,1665,Open plot,11422647,63046955,2005,2008,2015,2,0.5,0.286093677692901,0.0829999968409538,0.556422485222105,-0.118000000715256,5.01999998092651,0.025000000372529,0.251499995589256,0.226499995216727,10,1.94489612531522,2.72891570888552,0.102299394675717,1.23252287432908,NA,
Sl_Tydal,SEUB,{FD109D9F-AE24-40DC-8D00-FAC2D3483C80},Trondelag,1665,Exclosure,11423383,63047032,2005,2008,2015,2,0.5,0.828131509418472,0.257999986410141,1.05834901441062,-0.0900000035762787,5.83400011062622,0.0525000002235174,1.36449998617172,1.3119999859482,10,1.27799631142379,5.08527153122607,0.379545579710836,1.47110697559292,NA,
Stangeskovene Aurskog,SSAB,{B0A908A0-978F-463C-8EA8-A03946B5F541},Hedmark,221,Open plot,11353306,5984871,2008,2010,2018,5,0.25,0.371960396300091,0.173499993979931,0.577496023459417,-0.00700000021606684,4.30000019073486,0.123999997973442,0.268750004470348,0.144750006496906,10,1.552573954657,0.834294014521116,0.0934037904560566,0.538350395947914,NA,
Stangeskovene Aurskog,SSAUB,{2AF93635-1E59-4308-9CF5-5F8DEC44711B},Hedmark,221,Exclosure,11354806,59848884,2008,2010,2018,5,0.25,0.622237875330634,0.221000000834465,0.847050605297963,-0.0719999969005585,5.15100002288818,0.12899999320507,0.930000007152557,0.801000013947487,10,1.36129708409002,3.62443443856572,0.191255400972068,0.86540905090459,NA,
